"","GSM8393322","GSM8393323","GSM8393324","GSM8393325","GSM8393326","GSM8393327","GSM8393328","GSM8393329","GSM8393330","GSM8393331"
"ENSG00000291047",0.135598,0,0.0986763,0,0.220582,0.636812,0.295959,0.154126,0.256623,0
"ENSG00000291054",0.816233,1.34854,0.933709,0.980961,0.880258,1.35937,0.928137,0.829934,0.918947,0.900859
"ENSG00000291060",0.5589037,2.0635383,1.3307822,1.6180667,1.966503,1.159178,2.5709808,1.0759165,1.243779,1.502143348
"ENSG00000291062",0,0,0,0,0,0,0.1262,0,0,0.160756
"ENSG00000291063",0,0.000123667,0,0,0,0,0,0,0,0
"ENSG00000291065",0.0157933,0.037209,0.00934197,0.0159545,0.0514758,0.0267406,0.1673415,0.00851633,0.0261995,0.014968
"ENSG00000291066",2.055396,1.313177,2.203295,1.9565,1.565344,1.781062,1.251507,1.577261,1.616621,2.298657
"ENSG00000291067",0.842345,0.808203,1.1845518,0.948768,0.848776,1.0256668,1.356255,0.9676042595,0.98926485019,1.22046
"ENSG00000291068",1.22475,1.80199,1.34649,1.50448,1.41267,1.88184,1.52698,1.77699,1.15823,1.48722
"ENSG00000291072",10.283521,11.197582,12.145315,11.911772,14.312292,12.103153,12.533251,11.727726,10.688889,13.283537
"ENSG00000291073",5.0369397,5.3929513,3.898946,4.6401635,3.339769,5.5419575,5.70364,2.8189655,4.800964,5.4198809
"ENSG00000291077",3.392619,4.29732,5.228371,6.8272,5.778209,7.89832,5.697,5.84795,6.8086,6.92752
"ENSG00000291078",2.809233,3.11394,3.54675,3.148349,3.060738,4.15484,3.95047,2.841832,4.76935,5.168165
"ENSG00000291089",0.127359,0.122417,0.182051,0.071802,0.110129,0.0903273,0.106656,0.0724777,0.139172,0.08943
"ENSG00000291091",5.29204,5.420326,4.091223,3.561237,4.951,5.193,4.836923,3.6217336,4.261526,5.648117
